problem,test,status,time_ms,time_budget_ms,tier,correct,complete,optimal,time_alg_ms,time_cal_ms,note
n-puzzle,t01,OK,131,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t02,OK,127,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t03,OK,126,1000,slow,true,true,true,,0,(runs: 1/1 OK)
n-puzzle,t04,OK,122,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t05,OK,124,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t06,OK,129,1000,slow,true,true,true,,0,(runs: 1/1 OK)
n-puzzle,t07,OK,127,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t08,OK,143,1000,slow,true,true,,,0,(runs: 1/1 OK)
n-puzzle,t09,OK,396,1000,slow,true,true,,,196,(runs: 1/1 OK)
n-puzzle,t10,OK,478,1000,slow,true,true,,,278,(runs: 1/1 OK)
n-puzzle,t11,OK,1149,5000,slow,true,true,,,949,(runs: 1/1 OK)
